Название товара:,Цена по акции:
"Напиток кисломолочный ТАН 0,5% (РОСТАГРОЭКСПОРТ), 1л",74.99
"Мороженое КОРОВКА ИЗ КОРЕНОВКИ, с клубничным джемом, 120г",74.99
"Чай АЗЕРЧАЙ, Черный с ароматом бергамота, 100г",74.99
"Молоко ЭКОНИВА ультрапастеризованное 2,5%, 1л",74.99
"Мороженое КОРОВКА ИЗ КОРЕНОВКИ, с клубничным джемом, 120г",74.99
"Шоколад РОССИЯ Щедрая душа Клубника-печенье, 80г",74.99
"Молоко ЭКОНИВА ультрапастеризованное 2,5%, 1л",74.99
"Шоколад РОССИЯ Щедрая душа Мороженое-печенье, 80г",74.99
"Чай АЗЕРЧАЙ, Черный с ароматом бергамота, 100г",74.99
"Напиток кисломолочный ТАН 0,5% (РОСТАГРОЭКСПОРТ), 1л",74.99
"Напиток кисломолочный ТАН 0,5% (РОСТАГРОЭКСПОРТ), 1л",74.99
"Сельдь ФОРГРЕЙТ натуральная, 230г",74.99
"Сельдь ФОРГРЕЙТ натуральная, 230г",74.99
"Вафли КОЛОМЕНСКОЕ глазированные с арахисом и фундуком, 160г",74.99
"Шарики кукурузные СЫР BALL® сыр, 140г",74.99
"Сельдь ФОРГРЕЙТ натуральная, 230г",74.99
"Шоколад РОССИЯ Щедрая душа Клубника-печенье, 80г",74.99
"Шоколад РОССИЯ Щедрая душа Мороженое-печенье, 80г",74.99
"Квас ОЧАКОВСКИЙ, 2л",75.99
"Квас ОЧАКОВСКИЙ, 2л",75.99
"Минеральная вода БОРЖОМИ, 500мл",78.99
"Чай КЁРТИС зеленый Фреш Грин, 25пакетиков",79.99
"Чай черный КЕРТИС Элегант Эрл Грей бергамот-цитрус, 25 пакетиков",79.99
"Нектар ДОБРЫЙ, апельсин, 1л",79.99
"Борщ ГЛАВСУП с курицей, 250г",79.99
"Кальмар КРЕМ-ФИШ, с креветками, 150г",79.99
"Сок САДЫ ПРИДОНЬЯ, Яблоко-абрикос, 1л",79.99
"Крем для ног СТО РЕЦЕПТОВ КРАСОТЫ, Смягчающий, 80мл",79.99
"Нектар ДОБРЫЙ, мультифруктовый, 1л",79.99
"Борщ ГЛАВСУП с курицей, 250г",79.99
"Сок САДЫ ПРИДОНЬЯ, Мультиовощной, 1л",79.99
"Перец черный ИНДАНА, молотый, 50г",79.99
"Нектар ДОБРЫЙ, мультифруктовый, 1л",79.99
"Сок САДЫ ПРИДОНЬЯ, Яблоко-абрикос, 1л",79.99
"Чай ТЕСС, Форест Дрим, 20 пирамидок",79.99
"Томаты Черри на ветке, 1уп. (250г)",79.99
"Чай ТЕСС, Форест Дрим, 20 пирамидок",79.99
"Шоколад БАБАЕВСКИЙ, Элитный, 75% какао, 100г",79.99
"КИЛЬКА обжаренная, в томатном соусе (Глубокский МКК), 240г",79.99
"КИЛЬКА обжаренная, в томатном соусе (Глубокский МКК), 240г",79.99
"Чай зеленый ТЕСС, Джинджер Мохито, 20пирамидок",79.99
"Чай черный КЕРТИС Деликат Блэк, 25 пакетиков",79.99
"Чай черный КЕРТИС Элегант Эрл Грей бергамот-цитрус, 25 пакетиков",79.99
"Горошек зеленый ШЕСТЬ СОТОК, 400г",79.99
"Перец черный ИНДАНА, молотый, 50г",79.99
"Мармелад СЕМЕЙНЫЕ СЕКРЕТЫ с добавлением сока, 250г",79.99
"Кукуруза сладкая ШЕСТЬ СОТОК, 340г",79.99
"Нектар ДОБРЫЙ, апельсин, 1л",79.99
"Чай КЁРТИС зеленый Фреш Грин, 25пакетиков",79.99
"Чай зеленый ТЕСС, Джинджер Мохито, 20пирамидок",79.99
"Борщ ГЛАВСУП с курицей, 250г",79.99
"Чай черный КЕРТИС Деликат Блэк, 25 пакетиков",79.99
"Сметана ПРОСТОКВАШИНО 15%, 300г",79.99
"Сметана ПРОСТОКВАШИНО 15%, 300г",82.99
"Сметана ПРОСТОКВАШИНО 15%, 300г",82.99
"Молоко ВОЛОГОДСКОЕ ЛЕТО 3,4-4%, 0,93л",82.99
"Перец черный ИНДАНА горошком, 50г",82.99
"Перец черный ИНДАНА горошком, 50г",82.99
"Попкорн LUCKY DAYS® Карамель, 250г",83.99
"Закваска ЭГО, 950г",84.99
"Закваска ЭГО, 950г",84.99
"Соль СЕТРА Гималайская розовая мелкая, 500г",84.99
"Хлебцы ЩЕДРЫЕ, Ржано-пшеничные с кунжутом, 200г",84.99
"Напиток газированный КОКА-КОЛА, Зеро, 900мл",84.99
"Напиток газированный ФАНТА, апельсин, 900мл",84.99
"Напиток газированый КОКА-КОЛА, Ванилла, 900мл",84.99
"Шарики кукурузные CHICO&RICO® сметана-лук, 140г",84.99
"Рыбка янтарная ДОНСКОЙ РК, сушеная, с перцем, 70г",84.99
"Закваска ЭГО, 950г",84.99
"Напиток газированный КОКА-КОЛА Лайм, 900мл",84.99
"Хлебцы ЩЕДРЫЕ, Ржано-пшеничные с кунжутом, 200г",84.99
"Напиток газированый КОКА-КОЛА, Ванилла, 900мл",84.99
"Кефир ПРОСТОКВАШИНО, 3,20%, 930мл",84.99
"Сыр творожный САВУШКИН воздушный сливочный 60%, 150г",84.99
"Рыбка янтарная ДОНСКОЙ РК, сушеная, с перцем, 70г",84.99
"Напиток газированный КОКА-КОЛА, 900мл",84.99
"Напиток газированный СПРАЙТ, 900мл",84.99
"Огурцы Корнишоны, 1 уп. (300 г)",84.99
"Напиток газированный КОКА-КОЛА, 900мл",84.99
"Шарики кукурузные CHICO&RICO® сметана-лук, 140г",84.99
"Напиток газированный ФАНТА, апельсин, 900мл",84.99
"ЦИКОРИЙ ЭЛИТ растворимый, 100г",84.99
"Шампиньоны королевские, 1 уп. (300 г)",84.99
"FANTA Напиток апелс зеро 0,9л пл/бут:12",84.99
"FANTA Напиток апелс зеро 0,9л пл/бут:12",84.99
"ЦИКОРИЙ ЭЛИТ растворимый, 100г",84.99
"Напиток газированный КОКА-КОЛА, Зеро, 900мл",84.99
"Напиток газированный ФАНТА Цитрус, 900мл",84.99
"Рыбка янтарная ДОНСКОЙ РК, сушеная, с перцем, 70г",84.99
"Нектар МАГНИТ тыквенный с мякотью, 1л",84.99
"Напиток газированный СПРАЙТ, 900мл",84.99
"Кефир ПРОСТОКВАШИНО, 3,20%, 930мл",88.99
"Кефир ПРОСТОКВАШИНО, 3,20%, 930мл",88.99
"Яблоки фасованные цена, 1 кг",89.90
"Яблоки Гренни Смит, 1 кг",89.90
"Яблоки Гренни Смит, 1 кг",89.90
"Чай черный GREENFIELD Эрл Грей Фэнтази, 25пакетиков",89.99
"Чай черный GREENFIELD Эрл Грей Фэнтази, 25пакетиков",89.99
"Лечо ДЖАНАРАТ традиционное, 460г",89.99
"Мороженое РОССИЙСКОЕ, 14%, в молочном шоколаде (Чистая линия),
                80г",89.99
"Томаты ВАЛДАЙСКИЙ ПОГРЕБОК, в томатном соке, 660г",89.99
"Фасоль БОНДЮЭЛЬ, красная, 425мл",89.99
"Напиток энергетический ДРАЙВ МИ Макс, газированный, 1л",89.99
"Печень трески МОРСКОЙ КОТИК По-скандинавски, 240г",89.99
"Фасоль БОНДЮЭЛЬ, красная, 425мл",89.99
"Кальмар КРЕМ-ФИШ, с креветками, 150г",89.99
"Кальмар КРЕМ-ФИШ, с креветками, 150г",89.99
"Мороженое РОССИЙСКОЕ, 14%, в молочном шоколаде (Чистая линия),
                80г",89.99
"Печень трески МОРСКОЙ КОТИК По-скандинавски, 240г",89.99
"Фасоль белая БОНДЮЭЛЬ, в томатном соусе, 425мл",89.99
"Мороженое РОССИЙСКОЕ, 14%, в молочном шоколаде (Чистая линия),
                80г",89.99
"Томаты ВАЛДАЙСКИЙ ПОГРЕБОК, в томатном соке, 660г",89.99
"Молоко ВОЛШЕБНАЯ ДОЛИНА с витаминами 3,2%, 950мл",89.99
"Напиток кофейный ЖОКЕЙ Мягкий растворимый 3в1, 10х12г",89.99
"Напиток кофейный ЖОКЕЙ Мягкий растворимый 3в1, 10х12г",89.99
"Чай RICHARD черный Роял Годжи&Вайлд Строберри, 25пакетиков",89.99
"Фасоль белая БОНДЮЭЛЬ, в томатном соусе, 425мл",89.99
"Лечо ДЖАНАРАТ традиционное, 460г",89.99
"Крем для ног СТО РЕЦЕПТОВ КРАСОТЫ, Смягчающий, 80мл",89.99
"Паштет ДЕРЕВЕНСКИЙ (Егорьевская ГФ), 150г",89.99
"Паштет ДЕРЕВЕНСКИЙ (Егорьевская ГФ), 150г",89.99
"Чурчхела с грецким орехом, 1шт",89.99
"Вода питьевая ЛЕГЕНДА ГОР АРХЫЗ Природная негазированная, 5л",89.99
"Паштет ДЕРЕВЕНСКИЙ (Егорьевская ГФ), 150г",89.99
"Чурчхела с грецким орехом, 1шт",89.99
"Молоко ВОЛШЕБНАЯ ДОЛИНА с витаминами 3,2%, 950мл",89.99
"Молоко ВОЛШЕБНАЯ ДОЛИНА с витаминами 3,2%, 950мл",89.99
"Чай зеленый GREENFIELD Летающий дракон, 25пакетиков",89.99
"Чай зеленый GREENFIELD Летающий дракон, 25пакетиков",89.99
"Напиток чайный GREENFIELD Спринг Мате, 25пакетиков",89.99
"Напиток чайный GREENFIELD Спринг Мате, 25пакетиков",89.99
"Фасоль белая БОНДЮЭЛЬ, в томатном соусе, 425мл",89.99
"Рыбка янтарная ДОНСКОЙ РК, сушеная, с перцем, 70г",89.99
"Фасоль БОНДЮЭЛЬ, красная, 425мл",89.99
"Чай RICHARD черный байховый Персик&Мята, 25пакетиков",89.99
"Клюква СТОЕВЪ, протертая с сахаром, 280г",91.99
"ИНДЕЙКА копчено-вареная, нарезка (Дымов), 70г",91.99
"ИНДЕЙКА копчено-вареная, нарезка (Дымов), 70г",91.99
"ИНДЕЙКА копчено-вареная, нарезка (Дымов), 70г",91.99
"Клюква СТОЕВЪ, протертая с сахаром, 280г",91.99
"Чай RICHARD черный Роял Годжи&Вайлд Строберри, 25пакетиков",92.99
"Чай RICHARD черный байховый Персик&Мята, 25пакетиков",92.99
"Палочки сдобные LUCKY DAYS®, Черная смородина, 370г",94.99
"Лосьон-тоник ЧИСТАЯ ЛИНИЯ, Отвар целебных трав для
                комбинированной кожи, 101мл",94.99
"Палочки сдобные LUCKY DAYS®, Черная смородина, 370г",94.99
"Маска для лица ЧИСТАЯ ЛИНИЯ Натура сияние, 12г",94.99
"Маска для лица ЧИСТАЯ ЛИНИЯ Натура сияние, 12г",94.99
"Спаржа по-корейски, пл/банка, 200 г",94.99
"Лосьон-тоник ЧИСТАЯ ЛИНИЯ, Отвар целебных трав для
                комбинированной кожи, 101мл",94.99
"Сыр ПРЕЗИДЕНТ, сливочный, 8 долек, 140г",94.99
"Сыр плавленый ПРЕЗИДЕНТ, Ассорти, 140г",94.99
"Мука СТАРООСКОЛЬСКАЯ, хлебопекарная, ГОСТ, 2кг",94.99
"Кальмар SOLONINA® сушено-вяленый, полоски, 70г",98.99
"Яблоки Симиренко, 1кг",99.90
"Яблоки Симиренко, 1кг",99.90
"Морс ФРУКТОВЫЙ САД, Земляника-брусника, 950мл",99.99
"Сок ФРУКТОВЫЙ САД, томатный с мякотью, 950мл",99.99
"Мексиканская смесь ВИТАМИН, Свежемороженая, 400г",99.99
"Закуска ПОЛЕЗНЫЕ ПРОДУКТЫ Фава Классическая, 200г",99.99
"Нектар ФРУКТОВЫЙ САД яблоко-гранат-рябина-смородина-виноград,
                950мл",99.99
"Сыр плавленый ХОХЛАНД, ассорти, сливочный, ветчина, 150г",99.99
"Напиток ФРУКТОВЫЙ САД, Лесные ягоды, Яблоко-ягоды, 950мл",99.99
"Нектар ФРУКТОВЫЙ САД, Яблоко-виноград, 950мл",99.99
"Морс ФРУКТОВЫЙ САД, Клюквенный, 950мл",99.99
"Мексиканская смесь ВИТАМИН, Свежемороженая, 400г",99.99
"Скумбрия ДОБРОФЛОТ, натуральная, с маслом, 245г",99.99
"Фасоль БОНДЮЭЛЬ, белая, 425мл",99.99
"Сыр плавленый ХОХЛАНД, ассорти, сливочный, ветчина, 150г",99.99
"Скумбрия ДОБРОФЛОТ, натуральная, с маслом, 245г",99.99
"Морс ФРУКТОВЫЙ САД, Земляника-брусника, 950мл",99.99
"Сок ФРУКТОВЫЙ САД, томатный с мякотью, 950мл",99.99
"Морс ФРУКТОВЫЙ САД, Клюквенный, 950мл",99.99
"Мексиканская смесь ВИТАМИН, Свежемороженая, 400г",99.99
"Фасоль БОНДЮЭЛЬ, белая, 425мл",99.99
"Колбаса ИТАЛЬЯНСКАЯ, Классик, сырокопченая, нарезка (Ремит), 70г",99.99
"Фасоль БОНДЮЭЛЬ, белая, 425мл",99.99
"Напиток ФРУКТОВЫЙ САД, Лесные ягоды, Яблоко-ягоды, 950мл",99.99
"Кофе НЕСКАФЕ Классик растворимый, 60г",99.99
"Напиток энергетический БЕРН дарк, 449мл",99.99
"Кофе НЕСКАФЕ Классик растворимый, 60г",99.99
"Скраб ЧИСТАЯ ЛИНИЯ, очищающий, 50мл",99.99
"Напиток энергетический БЕРН дарк, 449мл",99.99
"Творог ПРОСТОКВАШИНО 5%, 200г",99.99
"Колбаса ПИВЧИКИ БАВАРСКИЕ, сырокопченая, мини (Микоян МК), 95г",99.99
"Колбаса ПИВЧИКИ БАВАРСКИЕ, сырокопченая, мини (Микоян МК), 95г",99.99
"Колбаса ИТАЛЬЯНСКАЯ, Классик, сырокопченая, нарезка (Ремит), 70г",99.99
"Колбаса ИТАЛЬЯНСКАЯ, Классик, сырокопченая, нарезка (Ремит), 70г",99.99
"Скраб ЧИСТАЯ ЛИНИЯ, очищающий, 50мл",99.99
"Шинка ПИКАНТНАЯ, (ООО ТД Иней), 150г",99.99
"Мармелад СЕМЕЙНЫЕ СЕКРЕТЫ с добавлением сока, 250г",99.99
"Нектар ФРУКТОВЫЙ САД, Яблоко-виноград, 950мл",99.99
"Колбаса ПИВЧИКИ БАВАРСКИЕ, сырокопченая, мини (Микоян МК), 95г",99.99
"Нектар ФРУКТОВЫЙ САД яблоко-гранат-рябина-смородина-виноград,
                950мл",99.99
"Скумбрия ДОБРОФЛОТ, натуральная, с маслом, 245г",99.99
"Мука СТАРООСКОЛЬСКАЯ, хлебопекарная, ГОСТ, 2кг",100.99
"Яблоки новый урожай, 1кг",104.90
"Холодец ДИВО Деревенский куриный вареный, 300г",104.99
"Холодец ДИВО Деревенский куриный вареный, 300г",104.99
"Спаржа по-корейски, пл/банка, 200 г",104.99
"Минтай SOLO NINA® соломка с перцем сушено-вяленый, 70г",104.99
"Салат чука САНТА БРЕМОР в ореховом соусе, 150г",104.99
"Майонез ЮГ Адыгейская классика, 50,5%, 240 мл",104.99
"Минтай SOLO NINA® соломка с перцем сушено-вяленый, 70г",104.99
"Варенье МАГНИТ абрикосовое, 300г",104.99
"Фасоль с овощами СЕМЕЙНЫЕ СЕКРЕТЫ, 530г",104.99
"Майонез ЮГ Адыгейская классика, 50,5%, 240 мл",104.99
"Майонез ЮГ Адыгейская классика, 50,5%, 240 мл",104.99
"Холодец ДИВО Деревенский куриный вареный, 300г",104.99
"Мука ПЫШЕЧКА, пшеничная, 2кг",105.99
"Творог ПРОСТОКВАШИНО 5%, 200г",107.99
"Мука УВЕЛКА \\высший сорт, 2кг",107.99
"Творог ПРОСТОКВАШИНО 5%, 200г",107.99
"Мука ПЫШЕЧКА, пшеничная, 2кг",107.99
"Мука УВЕЛКА \\высший сорт, 2кг",107.99
"Мука ПЫШЕЧКА, пшеничная, 2кг",107.99
"Бекон БЛИЖНИЕ ГОРКИ для жарки, 260г",109.90
"Чай GREENFIELD Милки Оолонг, 20 пирамидок",109.99
"Сардельки КАЖДОМУ ПО ВКУСУ (Мясницкий Ряд), 360г",109.99
"Маска ЧИСТАЯ ЛИНИЯ тканевая для лица Идеальная кожа
                ультра-увлажнение и восстановление",109.99
"Манго Экстра, 1 шт",109.99
"Манго Экстра, 1 шт",109.99
"Чай черный ТЕСС, Санрайз листовой, 100г",109.99
"Маска ЧИСТАЯ ЛИНИЯ тканевая для лица Идеальная кожа
                ультра-увлажнение и восстановление",109.99
"Колбаса ПЕППЕРОНИ Итальянская сырокопченая (Дымов), 90г",109.99
"Колбаса ПЕППЕРОНИ Итальянская сырокопченая (Дымов), 90г",109.99
"Сардельки КАЖДОМУ ПО ВКУСУ (Мясницкий Ряд), 360г",109.99
"Колбаса ПЕППЕРОНИ Итальянская сырокопченая (Дымов), 90г",109.99
"Оливки СПАЙНОЛЛИ, Зеленые с креветкой, 300г",109.99
"Сардельки КАЖДОМУ ПО ВКУСУ (Мясницкий Ряд), 360г",109.99
"РИЕТ ИЗ ЛОСОСЯ с мягким творогом (Меридиан), 100г",109.99
"Кукуруза БОНДЮЭЛЬ, Молодая, 340г",109.99
"Чай черный ТЕСС, Санрайз листовой, 100г",109.99
"Чак-чак ВОСТОЧНЫЙ ГОСТЬ, 300г",109.99
"Чак-чак ВОСТОЧНЫЙ ГОСТЬ, 300г",109.99
"Кукуруза БОНДЮЭЛЬ, Молодая, 340г",109.99
"Мармелад МАРМЕЛАНДИЯ, Фруктовый коктейль, 250г",109.99
"Авокадо Хасс, 1 уп. ( 2шт)",109.99
"Оливки чёрные SPAINOLLI®, с косточкой, 350г",109.99
"РИЕТ ИЗ ЛОСОСЯ с мягким творогом (Меридиан), 100г",109.99
"РИЕТ ИЗ ЛОСОСЯ с мягким творогом (Меридиан), 100г",109.99
"Авокадо Хасс, 1 уп. ( 2шт)",109.99
"Оливки чёрные SPAINOLLI®, с косточкой, 350г",109.99
"Чак-чак ВОСТОЧНЫЙ ГОСТЬ, 300г",109.99
"Чай GREENFIELD Милки Оолонг, 20 пирамидок",109.99
"Салат Айсберг Бережливая линия, 1 уп. (150г)",109.99
"Оливки чёрные SPAINOLLI®, с косточкой, 350г",109.99
"Мармелад МАРМЕЛАНДИЯ, Фруктовый коктейль, 250г",109.99
"Оливки СПАЙНОЛЛИ, Зеленые с креветкой, 300г",109.99
"Сыр ТОФУ классический (Едемский Сад), 250г",112.99
"Салат Тоскана, 1уп. (120г)",112.99
"Сыр ТОФУ классический (Едемский Сад), 250г",112.99
"Сыр ТОФУ классический (Едемский Сад), 250г",112.99
"Томаты сливовидные, 1кг",114.90
"Кальмар SOLONINA® сушено-вяленый, полоски, 70г",114.99
"Пенка для умывания ЧИСТАЯ ЛИНИЯ, на отваре целебный трав, 100мл",114.99
"Икра баклажановая ДЖАНАРАТ, 470г",114.99
"Кальмар SOLONINA® сушено-вяленый, полоски, 70г",114.99
"Кальмар SOLONINA® сушено-вяленый, полоски, 70г",114.99
"ДЖАНАРАТ Имам Баялды, 450г",114.99
"Пенка для умывания ЧИСТАЯ ЛИНИЯ, на отваре целебный трав, 100мл",114.99
"Икра баклажановая ДЖАНАРАТ, 470г",114.99
"ДЖАНАРАТ Имам Баялды, 450г",114.99
"Кальмар SOLONINA® сушено-вяленый, стружка, 70г",115.99
"Кальмар SOLONINA® сушено-вяленый, стружка, 70г",115.99
"Нектар РИЧ, Персиковый, 1л",116.99
"Колбаса БРАУНШВЕЙГСКАЯ, сырокопченая, нарезка (Егорьевская КГФ),
                100г",116.99
"Сок РИЧ, яблочный, 1л",116.99
"Сок РИЧ, Томатный, 1л",116.99
"Колбаса БРАУНШВЕЙГСКАЯ, сырокопченая, нарезка (Егорьевская КГФ),
                100г",116.99
"Колбаса БРАУНШВЕЙГСКАЯ, сырокопченая, нарезка (Егорьевская КГФ),
                100г",116.99
"Сок РИЧ, яблочный, 1л",116.99
"Нектар РИЧ, Персиковый, 1л",116.99
"Сок РИЧ, Томатный, 1л",116.99
"Молоко ЭКОВАКИНО пастеризованное 3,4%-6%, 1,43л",119.89
"Молоко ЭКОВАКИНО пастеризованное 3,4%-6%, 1,43л",119.89
"Молоко ЭКОВАКИНО пастеризованное 3,4%-6%, 1,43л",119.89
"Чай черный GREENFIELD Голден Цейлон, 100г",119.90
"Окорок МЯСНИЦКИЙ РЯД копчено-вареный охлажденный, 300г",119.90
"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",119.99
"Бельмеши ГОРЯЧАЯ ШТУЧКА, 300г",119.99
"Бельмеши ГОРЯЧАЯ ШТУЧКА, 300г",119.99
"Чевапчичи БЛИЖНИЕ ГОРКИ, свиные, полуфабрикат (КМПЗ), 300г",119.99
"Чевапчичи БЛИЖНИЕ ГОРКИ, свиные, полуфабрикат (КМПЗ), 300г",119.99
"Бельмеши ГОРЯЧАЯ ШТУЧКА, 300г",119.99
"Консервы РУСЬ, Говядина тушеная (Фортуна), 525г",119.99
"Чевапчичи БЛИЖНИЕ ГОРКИ, свиные, полуфабрикат (КМПЗ), 300г",119.99
"Фрикадельки БЛИЖНИЕ ГОРКИ (Курский), 360г",119.99
"Сельдь БАЛТИЙСКИЙ БЕРЕГ атлантическая филе кусочки марированные
                с луком и укропом, 250г",119.99
"Пельмени ОСТАНКИНО, Традиционные, 500г",119.99
"Икра мойвы САНТА БРЕМОР, с копченым лососем, 180г",119.99
"Семечки тыквенные ОТ МАРТИНА, 100г",119.99
"Сельдь БАЛТИЙСКИЙ БЕРЕГ атлантическая филе кусочки марированные
                с луком и укропом, 250г",119.99
"Шинка ПИКАНТНАЯ, (ООО ТД Иней), 150г",119.99
"Сельдь БАЛТИЙСКИЙ БЕРЕГ атлантическая филе кусочки марированные
                с луком и укропом, 250г",119.99
"Икра мойвы САНТА БРЕМОР, с копченым лососем, 180г",119.99
"Икра мойвы САНТА БРЕМОР, с копченым лососем, 180г",119.99
"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",119.99
"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",119.99
"Сок РИЧ, апельсиновый, 1л",119.99
"Шинка ПИКАНТНАЯ, (ООО ТД Иней), 150г",119.99
"Гель для умывания ЧИСТАЯ ЛИНИЯ, Глубокого действия, Идеальная
                кожа, 100мл",119.99
"Гель для умывания ЧИСТАЯ ЛИНИЯ, Глубокого действия, Идеальная
                кожа, 100мл",119.99
"ЧАЙ черный МАЙСКИЙ, Корона Российской Империи, листовой, 100г",119.99
"Нектар РИЧ, вишневый, 1л",119.99
"Нектар РИЧ, Манго-Апельсин, 1л",119.99
"Нектар РИЧ, Манго-Апельсин, 1л",119.99
"Нектар РИЧ, вишневый, 1л",119.99
"ЧАЙ черный МАЙСКИЙ, Корона Российской Империи, листовой, 100г",119.99
"Спаржа по-корейски, пл/банка, 200 г",119.99
"Сок РИЧ, апельсиновый, 1л",119.99
"Консервы РУСЬ, Говядина тушеная (Фортуна), 525г",119.99
"Сыр СВЕЗА рассольный Брынза 45% (Савушкин), 200г",124.99
"Овощи ПИКАНТА из печи, 520г",124.99
"Сыр VALIO Бутербродный нарезка 45%, 120г",124.99
"Сыр VALIO Бутербродный нарезка 45%, 120г",124.99
"Сыр СВЕЗА рассольный Брынза 45% (Савушкин), 200г",124.99
"Овощи ПИКАНТА из печи, 520г",124.99
"Сок J7 Фреш Тэйст апельсин с мякотью, 850мл",129.90
"Сок J7 Фреш Тэйст яблоко осветленный, 850мл",129.90
"Нектарины, 1кг",129.90
"Пельмени ОСТАНКИНО, Традиционные, 500г",129.99
"Сок J 7, Яблочный, 970мл",129.99
"Пельмени ОСТАНКИНО, Традиционные, 500г",129.99
"Бекон свиной ЛЮБИТЕЛЬСКИЙ, охлажденный (СК Короча), 260г",129.99
"СУХОГРУЗ Снэки рыбные Желтый Полосатик0,07кг п/уп:10",129.99
"Тунец СЕВЕРНАЯ ГАВАНЬ, филе в собственном соку, 185г",129.99
"Сок J 7, Яблочный, 970мл",129.99
"Сок ДЖЕЙ СЕВЕН, фрукты целиком, мультифрукт, с мякотью, 0,97л",129.99
"Бекон свиной ЛЮБИТЕЛЬСКИЙ, охлажденный (СК Короча), 260г",129.99
"Сок J7, Томатный, 970мл",129.99
"Бекон свиной ЛЮБИТЕЛЬСКИЙ, охлажденный (СК Короча), 260г",129.99
"Сок ДЖЕЙ СЕВЕН, Фрукты целиком, яблоко-персик, 970мл",129.99
"Сок ДЖЕЙ СЕВЕН, фрукты целиком, мультифрукт, с мякотью, 0,97л",129.99
"Сок ДЖЕЙ СЕВЕН, Фрукты целиком, яблоко-персик, 970мл",129.99
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 125г",129.99
"Тунец СЕВЕРНАЯ ГАВАНЬ, филе в собственном соку, 185г",129.99
"Тунец СЕВЕРНАЯ ГАВАНЬ, филе в собственном соку, 185г",129.99
"ГОРБУША натуральная (Большекаменский), 245г",129.99
"Чай черный GREENFIELD Голден Цейлон, 100г",129.99
"СУХОГРУЗ Снэки рыбные Желтый Полосатик0,07кг п/уп:10",129.99
"Семечки тыквенные ОТ МАРТИНА, 100г",129.99
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 125г",129.99
"ГОРБУША натуральная (Большекаменский), 245г",129.99
"Сок J7, Томатный, 970мл",129.99
"Желтый полосатик SOLONINA® сушено-вяленый, 70г",131.99
"Молоко ЭГО, пастеризованное, 3,2%, 1,7л",134.99
"Круассаны СЕВЕН ДЭЙЗ, какао 3+1, 260г",134.99
"Вода детская ФРУТОНЯНЯ, с рождения, 5л",134.99
"Молоко ЭГО, пастеризованное, 3,2%, 1,7л",134.99
"Круассаны СЕВЕН ДЭЙЗ, какао 3+1, 260г",134.99
"Молоко ЭГО, пастеризованное, 3,2%, 1,7л",134.99
"Сосиски РУБЛЕВСКИЙ Докторские (Москворецкий), 430г",139.90
"Нектарины, 1кг",139.90
"Масло сладкосливочное БРЕСТ-ЛИТОВСК 82,5%, 180 г",139.90
"Фарш МИРАТОРГ Домашний охлажденный свинина-говядина, 400г",139.99
"Фарш МИРАТОРГ Домашний охлажденный свинина-говядина, 400г",139.99
"Овощи ДЖАНАРАТ запеченные на мангале, 700г",139.99
"Фарш МИРАТОРГ Домашний охлажденный свинина-говядина, 400г",139.99
"Нектар РИЧ, Мультифруктовый, 1л",139.99
"Овощи ДЖАНАРАТ запеченные на мангале, 700г",139.99
"Молоко сгущенное КОРОВКА ИЗ КОРЕНОВКИ, 8,50%, 380г",139.99
"Нектар РИЧ, Мультифруктовый, 1л",139.99
"Средство чистящее ДОМЕСТОС универсальное Ультрабелый, 750мл",139.99
"Молоко сгущенное КОРОВКА ИЗ КОРЕНОВКИ, 8,50%, 380г",139.99
"Нектар J 7, апельсин-манго-маракуйя, 970мл",139.99
"Нектар J 7, апельсин-манго-маракуйя, 970мл",139.99
"Фарш МИРАТОРГ Домашний охлажденный свинина-говядина, 400г",139.99
"СОК J7, апельсиновый, 970мл",139.99
"Нектар ДЖЕЙ СЕВЕН, Ананасовый, 970мл",139.99
"Нектар J7, Вишневый, 970мл",139.99
"Чай черный ПРИНЦЕССА КАНДИ цейлонский, 250г",139.99
"Нектар J7, Вишневый, 970мл",139.99
"Фарш МИРАТОРГ Домашний охлажденный свинина-говядина, 400г",139.99
"Биойогурт питьевой АКТИВИА, Злаки, 870г",139.99
"Биойогурт питьевой АКТИВИА, Натуральный, 870мл",139.99
"Средство чистящее ДОМЕСТОС универсальное Свежесть Атлантики,
                750мл",139.99
"Средство чистящее ДОМЕСТОС универсальное Свежесть Атлантики,
                750мл",139.99
"Средство чистящее ДОМЕСТОС универсальное Ультрабелый, 750мл",139.99
ИНДИЛАЙТ Наггетсы индейка клас запеч260г (ПензаМолИнвест):14,139.99
ИНДИЛАЙТ Наггетсы индейка клас запеч260г (ПензаМолИнвест):14,139.99
ИНДИЛАЙТ Наггетсы индейка клас запеч260г (ПензаМолИнвест):14,139.99
"Фарш МИРАТОРГ Домашний охлажденный свинина-говядина, 400г",139.99
"Нектар ДЖЕЙ СЕВЕН, Ананасовый, 970мл",139.99
"Колбаса МОЛОЧНАЯ, ГОСТ, вареная (Великолукский), 500г",139.99
